month_year,state,fips,new_case,state_pop,new_case_per
01/2020,AK,02,0,738068,0.0
01/2020,AL,01,9,4888949,0.18408864563733432
01/2020,AR,05,0,3020327,0.0
01/2020,AS,60,0,55197,0.0
01/2020,AZ,04,1,7123898,0.01403725881532835
01/2020,CA,06,3,39776830,0.007542079145070133
01/2020,CO,08,0,5684203,0.0
01/2020,CT,09,0,3588683,0.0
01/2020,DE,10,0,971180,0.0
01/2020,FL,12,0,21312211,0.0
01/2020,GA,13,0,10545138,0.0
01/2020,GU,66,0,168783,0.0
01/2020,HI,15,0,1426393,0.0
01/2020,IA,19,0,3160553,0.0
01/2020,ID,16,0,1753860,0.0
01/2020,IL,17,2,12768320,0.015663767825367783
01/2020,IN,18,0,6699629,0.0
01/2020,KS,20,0,2918515,0.0
01/2020,KY,21,0,4472265,0.0
01/2020,LA,22,0,4682509,0.0
01/2020,MA,25,0,6895917,0.0
01/2020,MD,24,0,6079602,0.0
01/2020,ME,23,0,1341582,0.0
01/2020,MI,26,0,9991177,0.0
01/2020,MN,27,0,5628162,0.0
01/2020,MO,29,0,6135888,0.0
01/2020,MP,69,0,57557,0.0
01/2020,MS,28,0,2982785,0.0
01/2020,MT,30,0,1062330,0.0
01/2020,NC,37,0,10390149,0.0
01/2020,ND,38,0,755238,0.0
01/2020,NE,31,0,1932549,0.0
01/2020,NH,33,0,1350575,0.0
01/2020,NJ,34,0,9032872,0.0
01/2020,NM,35,0,2090708,0.0
01/2020,NV,32,0,3056824,0.0
01/2020,NY,36,0,19862512,0.0
01/2020,NYC,36061,0,8400000,0.0
01/2020,OH,39,0,11694664,0.0
01/2020,OK,40,0,3940521,0.0
01/2020,OR,41,0,4199563,0.0
01/2020,PA,42,0,12823989,0.0
01/2020,PR,72,0,3400000,0.0
01/2020,PW,70,0,18092,0.0
01/2020,RI,44,0,1061712,0.0
01/2020,SC,45,0,5088916,0.0
01/2020,SD,46,0,877790,0.0
01/2020,TN,47,0,6782564,0.0
01/2020,TX,48,0,28704330,0.0
01/2020,UT,49,0,3159345,0.0
01/2020,VA,51,0,8525660,0.0
01/2020,VI,78,0,106290,0.0
01/2020,VT,50,0,623960,0.0
01/2020,WA,53,1,7530552,0.013279239025240116
01/2020,WI,55,0,5818049,0.0
01/2020,WV,54,0,1803077,0.0
01/2020,WY,56,0,573720,0.0
01/2021,AK,02,6991,738068,947.2026967704873
01/2021,AL,01,94076,4888949,1924.2581585530959
01/2021,AR,05,70130,3020327,2321.934015753923
01/2021,AS,60,0,55197,0.0
01/2021,AZ,04,238290,7123898,3344.938403104592
