case_month,res_state,res_county,county_fips,case_count,state_fips
2020-05,AK,ANCHORAGE,2020,66,2
2020-05,AK,KENAI PENINSULA,2122,46,2
2020-05,AK,MATANUSKA-SUSITNA,2170,13,2
2020-05,AK,,,22,2
2020-05,AL,AUTAUGA,1001,157,1
2020-05,AL,BALDWIN,1003,80,1
2020-05,AL,BARBOUR,1005,98,1
2020-05,AL,BIBB,1007,29,1
2020-05,AL,BLOUNT,1009,15,1
2020-05,AL,CALHOUN,1015,48,1
2020-05,AL,CHAMBERS,1017,81,1
2020-05,AL,CHEROKEE,1019,19,1
2020-05,AL,CHILTON,1021,34,1
2020-05,AL,CLARKE,1025,80,1
2020-05,AL,COFFEE,1031,91,1
2020-05,AL,COLBERT,1033,124,1
2020-05,AL,COVINGTON,1039,30,1
2020-05,AL,CULLMAN,1043,79,1
2020-05,AL,DALE,1045,81,1
2020-05,AL,DALLAS,1047,206,1
2020-05,AL,DEKALB,1049,109,1
2020-05,AL,ELMORE,1051,254,1
2020-05,AL,ESCAMBIA,1053,31,1
2020-05,AL,ETOWAH,1055,92,1
2020-05,AL,FRANKLIN,1059,366,1
2020-05,AL,GENEVA,1061,30,1
2020-05,AL,HOUSTON,1069,125,1
2020-05,AL,JACKSON,1071,30,1
2020-05,AL,JEFFERSON,1073,974,1
2020-05,AL,LAUDERDALE,1077,86,1
2020-05,AL,LAWRENCE,1079,27,1
2020-05,AL,LEE,1081,132,1
2020-05,AL,LIMESTONE,1083,42,1
2020-05,AL,MADISON,1089,97,1
2020-05,AL,MARION,1093,31,1
2020-05,AL,MARSHALL,1095,199,1
2020-05,AL,MOBILE,1097,875,1
2020-05,AL,MONROE,1099,46,1
2020-05,AL,MONTGOMERY,1101,1252,1
2020-05,AL,MORGAN,1103,217,1
2020-05,AL,,,3697,1
2020-05,AL,PIKE,1109,134,1
2020-05,AL,RANDOLPH,1111,56,1
2020-05,AL,RUSSELL,1113,99,1
2020-05,AL,SHELBY,1117,157,1
2020-05,AL,ST CLAIR,1115,45,1
2020-05,AL,TALLADEGA,1121,43,1
2020-05,AL,TALLAPOOSA,1123,127,1
2020-05,AL,TUSCALOOSA,1125,476,1
2020-05,AL,WALKER,1127,267,1
2020-05,AL,WINSTON,1133,63,1
2020-05,AR,BENTON,5007,721,5
2020-05,AR,CARROLL,5015,32,5
2020-05,AR,COLUMBIA,5027,12,5
2020-05,AR,CRAIGHEAD,5031,200,5
2020-05,AR,CRAWFORD,5033,33,5
2020-05,AR,CRITTENDEN,5035,273,5
2020-05,AR,FAULKNER,5045,29,5
2020-05,AR,GARLAND,5051,21,5
2020-05,AR,GREENE,5055,35,5
2020-05,AR,HEMPSTEAD,5057,16,5
2020-05,AR,HOT SPRING,5059,15,5
2020-05,AR,INDEPENDENCE,5063,19,5
2020-05,AR,JEFFERSON,5069,140,5
2020-05,AR,JOHNSON,5071,13,5
2020-05,AR,LONOKE,5085,15,5
2020-05,AR,MILLER,5091,31,5
2020-05,AR,MISSISSIPPI,5093,36,5
2020-05,AR,,,774,5
2020-05,AR,POINSETT,5111,11,5
2020-05,AR,POPE,5115,123,5
2020-05,AR,PULASKI,5119,429,5
2020-05,AR,SALINE,5125,53,5
2020-05,AR,SEBASTIAN,5131,55,5
2020-05,AR,ST FRANCIS,5123,651,5
2020-05,AR,UNION,5139,116,5
2020-05,AR,WASHINGTON,5143,681,5
2020-05,AR,YELL,5149,179,5
2020-05,AZ,APACHE,4001,1244,4
2020-05,AZ,COCHISE,4003,91,4
2020-05,AZ,COCONINO,4005,638,4
2020-05,AZ,GILA,4007,46,4
2020-05,AZ,GRAHAM,4009,14,4
2020-05,AZ,MARICOPA,4013,7836,4
2020-05,AZ,MOHAVE,4015,340,4
2020-05,AZ,,,146,4
2020-05,AZ,NAVAJO,4017,1236,4
2020-05,AZ,PIMA,4019,1815,4
2020-05,AZ,PINAL,4021,554,4
2020-05,AZ,SANTA CRUZ,4023,473,4
2020-05,AZ,YAVAPAI,4025,168,4
2020-05,AZ,YUMA,4027,1572,4
2020-05,CA,ALAMEDA,6001,1877,6
2020-05,CA,BUTTE,6007,50,6
2020-05,CA,CONTRA COSTA,6013,690,6
2020-05,CA,DEL NORTE,6015,41,6
2020-05,CA,EL DORADO,6017,54,6
2020-05,CA,FRESNO,6019,2133,6
2020-05,CA,GLENN,6021,13,6
2020-05,CA,HUMBOLDT,6023,53,6
2020-05,CA,IMPERIAL,6025,3241,6
2020-05,CA,KERN,6029,1661,6
2020-05,CA,KINGS,6031,994,6
2020-05,CA,LAKE,6033,16,6
2020-05,CA,LOS ANGELES,6037,31975,6
2020-05,CA,MADERA,6039,173,6
2020-05,CA,MARIN,6041,275,6
